Hela landet;5 517 919
Akaa;16 611
Alajärvi;9 700
Alavieska;2 573
Alavus;11 544
Asikkala;8 149
Askola;4 958
Aura;3 984
Birkala;19 368
Björneborg;84 403
Borgnäs;5 068
Borgå;50 262
Brahestad;24 811
Brändö;449
Bötom;1 274
Eckerö;961
Enare;6 930
Enonkoski;1 405
Enontekis;1 852
Esbo;283 632
Etseri;5 703
Eura;11 748
Euraåminne;9 454
Evijärvi;2 473
Finström;2 588
Forssa;17 028
Fredrikshamn;20 286
Föglö;534
Geta;514
Grankulla;9 615
Gustavs;926
Haapajärvi;7 147
Haapavesi;6 854
Halsua;1 165
Hammarland;1 577
Hangö;8 379
Hankasalmi;4 939
Harjavalta;7 018
Hartola;2 780
Hattula;9 475
Hausjärvi;8 417
Heinola;18 889
Heinävesi;3 329
Helsingfors;648 042
Hirvensalmi;2 152
Hollola;23 602
Honkajoki;1 666
Huittinen;10 091
Humppila;2 235
Hyrynsalmi;2 287
Hyvinge;46 504
Högfors;8 778
Idensalmi;21 472
Ii;9 862
Iitti;6 765
Ikalis;7 003
Ilmajoki;12 187
Ilomants;4 973
Imatra;26 932
Ingå;5 403
Jakobstad;19 278
Janakkala;16 447
Jockis;5 195
Joensuu;76 551
Jomala;5 032
Jorois;4 812
Joutsa;4 467
Juuka;4 709
Juupajoki;1 884
Juva;6 225
Jyväskylä;141 305
Jämijärvi;1 809
Jämsä;20 607
Kaavi;2 990
Kajana;36 973
Kalajoki;12 387
Kangasala;31 676
Kangasniemi;5 452
Kankaanpää;11 471
Kannonkoski;1 353
Kannus;5 502
Karleby;47 657
Karlö;974
Karstula;4 031
Karvia;2 390
Kaskö;1 262
Kauhajoki;13 375
Kauhava;16 022
Kaustby;4 273
Keitele;2 244
Kemi;21 021
Kemijärvi;7 370
Keminmaa;8 147
Kempele;17 923
Kervo;36 254
Keuruu;9 762
Kihniö;1 910
Kimitoön;6 724
Kinnula;1 615
Kitee;10 358
Kittilä;6 436
Kiuruvesi;8 153
Kivijärvi;1 103
Kolari;3 834
Konnevesi;2 698
Kontiolahti;14 849
Korsholm;19 444
Korsnäs;2 122
Koski Tl;2 340
Kotka;52 883
Kouvola;83 177
Kristinestad;6 596
Kronoby;6 509
Kuhmo;8 329
Kuhmoinen;2 238
Kumlinge;315
Kumo;7 226
Kuopio;118 664
Kuortane;3 572
Kurikka;20 952
Kuusamo;15 207
Kyrkslätt;39 262
Kyyjärvi;1 343
Kärkölä;4 451
Kärsämäki;2 613
Kökar;236
Lahtis;119 951
Laihela;8 058
Laitila;8 647
Lapinlahti;9 617
Lappajärvi;3 078
Lappo;14 427
Lappträsk;2 665
Larsmo;5 340
Laukaa;18 927
Lemi;3 043
Lemland;2 033
Lempäälä;23 206
Leppävirta;9 650
Lestijärvi;737
Lieksa;11 098
Limingo;10 161
Liperi;12 145
Loimaa;16 032
Lojo;46 296
Loppi;7 861
Lovisa;14 891
Luhanka;707
Lumijoki;2 052
Lumparland;382
Lundo;19 831
Luumäki;4 662
Malax;5 477
Mariehamn;11 743
Marttila;2 018
Masku;9 554
Merijärvi;1 104
Miehikkälä;1 940
Muhos;8 980
Multia;1 584
Muonio;2 299
Muurame;10 170
Mynämäki;7 766
Mäntsälä;20 686
Mänttä-Vilppula;9 983
Mäntyharju;5 924
Mörskom;1 922
Nakkila;5 437
Nivala;10 737
Nokia;33 527
Nousis;4 733
Nurmes;7 641
Nurmijärvi;42 665
Nykarleby;7 455
Nyslott;33 611
Nystad;15 700
Nådendal;19 245
Närpes;9 471
Orimattila;16 091
Oripää;1 364
Orivesi;9 221
Oulainen;7 430
Outokumpu;6 803
Padasjoki;2 963
Paltamo;3 336
Pargas;15 217
Parikkala;4 842
Parkano;6 469
Pedersöre;11 016
Pelkosenniemi;954
Pello;3 438
Pemar;10 832
Perho;2 825
Pertunmaa;1 713
Petäjävesi;3 900
Pieksämäki;17 933
Pielavesi;4 498
Pihtipudas;4 053
Polvijärvi;4 307
Posio;3 237
Pudasjärvi;7 990
Pukkila;1 899
Punkalaidun;2 896
Puolanka;2 597
Puumala;2 197
Pyhäjoki;3 146
Pyhäjärvi;5 248
Pyhäntä;1 557
Pyhäranta;2 028
Pyttis;5 187
Påmark;2 146
Pälkäne;6 499
Pöytyä;8 333
Rantasalmi;3 514
Ranua;3 896
Raseborg;27 592
Raumo;39 360
Rautalampi;3 196
Rautavaara;1 651
Rautjärvi;3 335
Reisjärvi;2 743
Reso;24 178
Riihimäki;28 736
Ristijärvi;1 288
Rovaniemi;62 922
Ruokolahti;5 099
Ruovesi;4 398
Rusko;6 251
Rääkkylä;2 181
S:t Karins;33 458
S:t Michel;53 818
Saarijärvi;9 415
Sagu;2 994
Salla;3 491
Salo;52 321
Saltvik;1 858
Sastamala;24 651
Sastmola;3 115
Savitaipale;3 429
Savukoski;1 015
Seinäjoki;63 288
Sibbo;20 666
Sievi;4 980
Siikainen;1 458
Siikajoki;5 249
Siikalatva;5 301
Siilinjärvi;21 674
Simo;3 045
Sjundeå;6 134
Sodankylä;8 444
Soini;2 085
Somero;8 828
Sonkajärvi;3 967
Sotkamo;10 389
Sottunga;91
Storkyro;4 601
Storå;1 976
Sulkava;2 530
Sund;1 028
Suomussalmi;7 862
Suonenjoki;7 145
Sysmä;3 753
Säkylä;6 811
Taipalsaari;4 715
Taivalkoski;4 024
Tammela;6 081
Tammerfors;235 239
Tavastehus;67 532
Tavastkyro;10 510
Tervo;1 567
Tervola;3 062
Tohmajärvi;4 482
Toholampi;3 112
Toivakka;2 406
Torneå;21 875
Träskända;43 410
Tusby;38 664
Tuusniemi;2 551
Tyrnävä;6 758
Tövsala;1 662
Uleåborg;203 567
Ulvsby;13 021
Urjala;4 792
Utajärvi;2 702
Utsjoki;1 232
Uurainen;3 783
Vaala;2 869
Valkeakoski;21 137
Valtimo;2 143
Vanda;228 166
Varkaus;20 829
Vasa;67 552
Vehmaa;2 285
Vesanto;2 058
Vesilahti;4 393
Vetil;3 166
Vichtis;29 211
Vieremä;3 676
Viitasaari;6 264
Villmanstrand;72 699
Vimpeli;2 901
Virdois;6 739
Virolahti;3 150
Vårdö;448
Vörå;6 613
Ylivieska;15 212
Ylöjärvi;32 983
Ypäjä;2 357
Åbo;191 331
Äänekoski;18 851
Östermark;5 158
Övertorneå;4 022